Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2
160407010000001,Saturday 9th April 2016,Granada,Malaga,43.5,26.5,60.6,73.5,2.3,3.77,1.65,1.36,0,16.31
160407010000002,Sunday 10th April 2016,Real Madrid,Eibar,84.7,82.1,18.2,17.9,1.18,1.22,5.5,5.59,0,0
160407010000003,Sunday 10th April 2016,Espanol,Ath Madrid,23.8,20.4,80,79.6,4.2,4.89,1.25,1.26,0,0
160407010000004,Sunday 10th April 2016,Sociedad,Barcelona,16,18.9,87.7,81.1,6.25,5.3,1.14,1.23,1.71,0
160407010000005,Sunday 10th April 2016,Betis,Levante,48.8,38.6,54.6,61.4,2.05,2.59,1.83,1.63,0,7.4
160407010000006,Sunday 10th April 2016,Sp Gijon,Celta,32.3,31.5,71.9,68.5,3.1,3.17,1.39,1.46,0,0
160407010000007,Monday 11th April 2016,Valencia,Sevilla,41.7,40.4,58.8,59.6,2.4,2.48,1.7,1.68,0,0.97
160407010000008,Monday 11th April 2016,Villarreal,Getafe,66.7,63.2,37.5,36.8,1.5,1.58,2.67,2.72,0,0
160407010000009,Monday 11th April 2016,Ath Bilbao,Vallecano,62.5,52.7,38.5,47.3,1.6,1.9,2.6,2.11,0,7.21
160407010000010,Tuesday 12th April 2016,La Coruna,Las Palmas,46.5,50.2,57.1,49.8,2.15,1.99,1.75,2.01,3.44,0
160407010000011,Saturday 16th April 2016,Levante,Espanol,46.5,37.2,57.8,62.8,2.15,2.69,1.73,1.59,0,5.89
160407010000012,Sunday 17th April 2016,Getafe,Real Madrid,12.5,16.9,91.7,83.1,8,5.93,1.09,1.2,2.49,0
160407010000013,Sunday 17th April 2016,Las Palmas,Sp Gijon,52.6,51,50,49,1.9,1.96,2,2.04,0,0
160407010000014,Sunday 17th April 2016,Eibar,Sociedad,38.5,32.6,65.4,67.4,2.6,3.07,1.53,1.48,0,2.98
160407010000015,Sunday 17th April 2016,Celta,Betis,60.6,59.6,42,40.4,1.65,1.68,2.38,2.47,0,0
160407010000016,Sunday 17th April 2016,Malaga,Ath Bilbao,38.5,33.8,64.5,66.2,2.6,2.96,1.55,1.51,0,2.32
160407010000017,Monday 18th April 2016,Sevilla,La Coruna,66.7,62.7,38,37.3,1.5,1.59,2.63,2.68,0,0
160407010000018,Monday 18th April 2016,Ath Madrid,Granada,77.5,77.2,26.7,22.8,1.29,1.29,3.75,4.39,0,0
160407010000019,Monday 18th April 2016,Vallecano,Villarreal,34.5,41.2,69.4,58.8,2.9,2.42,1.44,1.7,5.16,0
160407010000020,Monday 18th April 2016,Barcelona,Valencia,88.5,78.5,15.4,21.5,1.13,1.27,6.5,4.66,0,3.6
